name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,200,true,14798
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,true,1
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,true,46
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,true,161
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,true,61
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,true,1384
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,true,8505
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,false,90023
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,true,93
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,true,58
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,12,0,20,20,true,46
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,13,0,25,25,true,203
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,8,0,30,30,true,132
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,1,0,50,50,true,839
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,70,true,45286
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,5,0,10,10,true,126
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,true,148
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,4,0,15,15,true,133
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,true,92
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,1,0,30,30,true,122
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,true,907
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,true,13796
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,9,0,70,70,true,4069
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,1,0,-1,100,true,14485
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,2,0,-1,120,true,42698
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,150,true,21308
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,false,90809
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,0,false,91350
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,false,91329
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,120,true,29804
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,0,false,91922
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,false,91936
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,70,true,59054
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,0,false,111009
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,0,false,114196
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,false,131529
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,false,156559
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,1,0,-1,100,true,7987
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,2,0,-1,120,true,8219
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,1,0,-1,150,true,28406
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,0,false,91216
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,100,true,56219
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,120,true,14534
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,false,92095
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,false,92729
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,false,139948
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,false,194898
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,false,172759
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,false,223115
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,250,10,10,10,true,2
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,79,1,15,15,true,25
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,39,0,25,25,true,155
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,67,1,20,20,true,115
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,32,0,30,30,true,427
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,12,0,50,50,true,2677
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,9,0,69,69,true,46687
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,0,false,90023
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,0,false,90038
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,23,0,10,10,true,58
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,20,0,15,15,true,63
