name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,false,92879
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,0,0,10,10,true,175
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,0,0,15,15,true,227
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,0,0,25,25,true,657
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,0,0,20,20,true,304
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,0,0,30,30,true,1239
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,0,0,50,50,true,3169
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,0,0,69,71,false,90063
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,124,false,90126
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,134,false,90154
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,0,0,10,10,true,310
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,0,0,15,15,true,411
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,0,0,25,25,true,611
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,0,0,20,20,true,458
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,0,0,30,30,true,868
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,true,2273
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,true,4809
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,159,false,90094
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,169,false,90092
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,0,0,10,10,true,870
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,0,0,20,20,true,1204
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,0,0,15,15,true,948
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,0,0,25,25,true,1558
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,0,0,30,30,true,2145
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,true,7122
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,true,10590
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,198,false,90157
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,206,false,90084
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,0,0,-1,0,false,91799
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,false,92849
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,0,0,-1,0,false,93068
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,false,90964
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,0,false,93058
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,false,96705
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,false,91801
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,false,91578
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,false,93022
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,false,93022
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,false,93010
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,false,93244
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,0,0,20,20,true,3110
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,0,0,25,25,true,3049
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,true,5632
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,true,7483
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,true,19940
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,true,41853
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,229,false,90205
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,0,0,15,15,true,319
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,0,0,20,20,true,238
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,0,0,25,25,true,703
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,0,0,30,30,true,556
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,0,0,50,50,true,2543
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,0,0,70,70,true,14475
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,0,0,-1,153,false,90122
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,0,0,-1,166,false,90103
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,0,0,15,15,true,441
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,0,0,25,25,true,1001
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,0,0,20,20,true,609
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,0,0,30,30,true,1383
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,0,0,50,50,true,2945
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,true,4985
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,100,true,24300
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,229,false,90102
synth-n_300-m_9556-k_15-p_0.2.txt,300,9556,0,0,15,15,true,1736
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,0,0,-1,0,false,91093
synth-n_3000-m_245845-k_150-p_0.05.txt,3000,245845,0,0,-1,0,false,91099
synth-n_3000-m_251178-k_200-p_0.05.txt,3000,251178,0,0,-1,0,false,91107
synth-n_3000-m_480800-k_120-p_0.1.txt,3000,480800,0,0,-1,0,false,91978
synth-n_3000-m_488450-k_150-p_0.1.txt,3000,488450,0,0,-1,0,false,92337
synth-n_3000-m_498304-k_200-p_0.1.txt,3000,498304,0,0,-1,0,false,92078
synth-n_3000-m_954655-k_120-p_0.2.txt,3000,954655,0,0,-1,0,false,95199
synth-n_3000-m_967399-k_150-p_0.2.txt,3000,967399,0,0,-1,0,false,94010
synth-n_3000-m_988910-k_200-p_0.2.txt,3000,988910,0,0,-1,0,false,96926
synth-n_3500-m_1289316-k_120-p_0.2.txt,3500,1289316,0,0,-1,0,false,99469
synth-n_3500-m_1304726-k_150-p_0.2.txt,3500,1304726,0,0,-1,0,false,100358
synth-n_3500-m_1330654-k_200-p_0.2.txt,3500,1330654,0,0,-1,0,false,95588
synth-n_3500-m_325120-k_120-p_0.05.txt,3500,325120,0,0,-1,0,false,96070
synth-n_3500-m_330042-k_150-p_0.05.txt,3500,330042,0,0,-1,0,false,91358
synth-n_3500-m_337087-k_200-p_0.05.txt,3500,337087,0,0,-1,0,false,91380
synth-n_3500-m_649101-k_120-p_0.1.txt,3500,649101,0,0,-1,0,false,92819
synth-n_3500-m_657209-k_150-p_0.1.txt,3500,657209,0,0,-1,0,false,92745
synth-n_3500-m_672789-k_200-p_0.1.txt,3500,672789,0,0,-1,0,false,92841
synth-n_400-m_10064-k_70-p_0.1.txt,400,10064,0,0,70,70,true,9343
synth-n_400-m_10528-k_100-p_0.1.txt,400,10528,0,0,100,100,true,20151
synth-n_400-m_10934-k_120-p_0.1.txt,400,10934,0,0,120,120,true,37511
synth-n_400-m_11482-k_150-p_0.1.txt,400,11482,0,0,150,282,false,90107
synth-n_400-m_16937-k_15-p_0.2.txt,400,16937,0,0,15,15,true,3202
synth-n_400-m_17175-k_20-p_0.2.txt,400,17175,0,0,20,20,true,7228
