name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,120,120,0,true,0,119,16591,22991,181
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,150,150,0,true,0,148,18822,27789,239
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,200,200,0,true,0,198,9939,18633,270
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,50,50,0,true,9,48,4074,4349,79
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,70,70,0,true,10,70,289,466,63
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,100,100,0,true,2,99,1062,1410,117
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,120,120,0,true,0,119,1655,2096,146
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,150,150,0,true,0,145,6770,8519,460
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,200,200,0,true,1,193,23558,32245,1984
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,50,50,0,true,2,49,1726,2184,54
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,70,70,0,true,1,70,769,1223,66
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,100,100,0,true,0,99,8417,10042,167
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,120,120,0,true,0,120,1267,2082,116
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,150,150,0,true,0,148,7792,10244,215
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,10,10,0,true,32,10,0,24,6
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,15,15,2,true,31,12,4,15,17
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,20,20,0,true,16,20,2,12,12
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,25,25,0,true,9,23,6,18,34
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,30,30,0,true,8,27,16,31,60
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,51,0,false,1,38,36454,90001,424670
