name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,20,20,0,true,3,0,23,121,70
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,15,15,0,true,2,0,14,33,23
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,25,25,0,true,1,0,21,107,59
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,30,30,0,true,1,0,49,397,247
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,50,50,0,true,0,0,109,1542,1065
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,70,70,0,true,0,0,276,3850,3073
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,100,98,0,false,0,0,7640,90009,76775
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,105,0,false,0,0,7363,90030,77671
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,-1,100,0,true,2,0,108,81014,53231
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,-1,119,0,false,0,0,55,90955,59587
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,-1,150,0,false,1,0,38,91029,71568
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,-1,195,0,false,0,0,32,91689,73701
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,-1,100,0,false,0,0,31,91939,62354
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,-1,119,0,false,0,0,26,91439,67018
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,-1,149,0,false,0,0,19,108187,88784
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,-1,197,0,false,0,0,18,93209,75652
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,-1,100,0,false,0,0,9,93205,73905
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,-1,120,0,false,0,0,8,96515,78818
