name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_250-m_1710-k_15-p_0.05.txt,250,1710,15,15,0,true,74,2,16,681
synth-n_250-m_1757-k_20-p_0.05.txt,250,1757,20,20,1,true,68,0,28,748
synth-n_250-m_1814-k_25-p_0.05.txt,250,1814,25,25,0,true,41,2,36,1193
synth-n_250-m_1916-k_30-p_0.05.txt,250,1916,30,30,0,true,39,0,63,1284
synth-n_250-m_3124-k_4-p_0.1.txt,250,3124,4,4,4,true,250,0,0,1
synth-n_250-m_3161-k_2-p_0.1.txt,250,3161,2,2,2,true,250,0,0,1
synth-n_250-m_3199-k_8-p_0.1.txt,250,3199,8,8,3,true,64,5,1,808
synth-n_250-m_3249-k_6-p_0.1.txt,250,3249,6,6,6,true,250,0,0,0
synth-n_250-m_3387-k_10-p_0.1.txt,250,3387,10,10,0,true,21,10,1,1781
synth-n_250-m_3436-k_15-p_0.1.txt,250,3436,15,15,1,true,23,11,3,1837
synth-n_250-m_3475-k_20-p_0.1.txt,250,3475,20,20,0,true,16,6,16,2033
synth-n_250-m_3612-k_25-p_0.1.txt,250,3612,25,25,0,true,5,2,35,2522
synth-n_250-m_3681-k_30-p_0.1.txt,250,3681,30,30,0,true,8,0,50,2478
synth-n_250-m_6262-k_2-p_0.2.txt,250,6262,2,2,2,true,250,0,0,1
synth-n_250-m_6353-k_4-p_0.2.txt,250,6353,4,4,0,true,12,4,1,1731
synth-n_250-m_6493-k_6-p_0.2.txt,250,6493,6,6,6,true,250,0,0,1
synth-n_250-m_6538-k_8-p_0.2.txt,250,6538,8,8,0,true,8,8,1,2311
synth-n_250-m_6557-k_10-p_0.2.txt,250,6557,10,10,0,true,3,10,1,2670
synth-n_250-m_6833-k_15-p_0.2.txt,250,6833,15,15,0,true,2,15,1,3153
synth-n_250-m_7048-k_20-p_0.2.txt,250,7048,20,20,0,true,1,20,1,3522
synth-n_250-m_7157-k_25-p_0.2.txt,250,7157,25,25,0,true,0,19,6,3763
synth-n_250-m_7252-k_30-p_0.2.txt,250,7252,30,30,0,true,1,18,16,3933
synth-n_275-m_1895-k_2-p_0.05.txt,275,1895,2,2,2,true,275,0,0,0
synth-n_275-m_1958-k_4-p_0.05.txt,275,1958,4,4,4,true,275,0,0,0
synth-n_275-m_2019-k_8-p_0.05.txt,275,2019,8,8,1,true,114,6,2,492
synth-n_275-m_2025-k_6-p_0.05.txt,275,2025,6,6,6,true,275,0,0,0
synth-n_275-m_2051-k_10-p_0.05.txt,275,2051,10,10,5,true,142,4,2,266
synth-n_275-m_2121-k_25-p_0.05.txt,275,2121,25,25,0,true,47,0,55,1600
synth-n_275-m_2122-k_15-p_0.05.txt,275,2122,15,15,0,true,63,3,14,1208
synth-n_275-m_2130-k_20-p_0.05.txt,275,2130,20,20,0,true,48,2,24,1497
synth-n_275-m_2220-k_30-p_0.05.txt,275,2220,30,30,0,true,30,0,63,1988
synth-n_275-m_3808-k_2-p_0.1.txt,275,3808,2,2,2,true,275,0,0,0
synth-n_275-m_3815-k_6-p_0.1.txt,275,3815,6,6,1,true,61,5,1,1224
synth-n_275-m_3851-k_4-p_0.1.txt,275,3851,4,4,4,true,275,0,0,0
synth-n_275-m_3928-k_10-p_0.1.txt,275,3928,10,10,6,true,79,4,1,907
synth-n_275-m_3928-k_8-p_0.1.txt,275,3928,8,8,8,true,275,0,0,1
synth-n_275-m_4227-k_15-p_0.1.txt,275,4227,15,15,1,true,19,14,1,2713
synth-n_275-m_4276-k_20-p_0.1.txt,275,4276,20,20,0,true,15,10,10,3020
synth-n_275-m_4371-k_30-p_0.1.txt,275,4371,30,30,0,true,5,0,123,3799
synth-n_275-m_4399-k_25-p_0.1.txt,275,4399,25,25,0,true,4,6,25,3515
synth-n_275-m_7607-k_2-p_0.2.txt,275,7607,2,2,2,true,275,0,0,1
synth-n_275-m_7697-k_4-p_0.2.txt,275,7697,4,4,0,true,22,4,1,2138
synth-n_275-m_7718-k_8-p_0.2.txt,275,7718,8,8,0,true,9,8,1,3078
synth-n_275-m_7787-k_6-p_0.2.txt,275,7787,6,6,0,true,10,6,1,2730
synth-n_275-m_7982-k_10-p_0.2.txt,275,7982,10,10,0,true,8,10,1,3397
synth-n_275-m_8114-k_15-p_0.2.txt,275,8114,15,15,0,true,6,15,1,4056
synth-n_275-m_8401-k_20-p_0.2.txt,275,8401,20,20,0,true,2,20,1,4799
synth-n_275-m_8453-k_25-p_0.2.txt,275,8453,25,25,0,true,0,24,2,5099
synth-n_275-m_8461-k_30-p_0.2.txt,275,8461,30,30,0,true,1,20,9,5336
synth-n_30-m_111-k_8-p_0.2.txt,30,111,7,7,7,true,30,0,0,0
synth-n_30-m_114-k_6-p_0.2.txt,30,114,5,5,1,true,14,1,4,1
synth-n_30-m_117-k_10-p_0.2.txt,30,117,7,7,1,true,11,1,6,1
synth-n_30-m_25-k_2-p_0.05.txt,26,25,0,0,0,true,26,0,0,0
synth-n_30-m_28-k_4-p_0.05.txt,25,28,2,2,2,true,25,0,0,0
synth-n_30-m_28-k_6-p_0.05.txt,26,28,1,1,1,true,26,0,0,0
synth-n_30-m_28-k_8-p_0.05.txt,25,28,1,1,1,true,25,0,0,0
synth-n_30-m_35-k_10-p_0.05.txt,26,35,0,0,0,true,26,0,0,0
synth-n_30-m_55-k_4-p_0.1.txt,29,55,2,2,2,true,29,0,0,0
synth-n_30-m_58-k_6-p_0.1.txt,30,58,2,2,2,true,30,0,0,0
synth-n_30-m_60-k_2-p_0.1.txt,30,60,1,1,1,true,30,0,0,0
synth-n_30-m_64-k_8-p_0.1.txt,30,64,3,3,1,true,27,0,3,0
synth-n_30-m_73-k_10-p_0.1.txt,30,73,4,4,1,true,17,1,3,0
synth-n_30-m_97-k_2-p_0.2.txt,30,97,2,2,2,true,30,0,0,0
synth-n_30-m_99-k_4-p_0.2.txt,29,99,3,3,3,true,29,0,0,0
synth-n_300-m_10263-k_30-p_0.2.txt,300,10263,30,30,0,true,0,23,8,7347
synth-n_300-m_2234-k_4-p_0.05.txt,300,2234,4,4,4,true,300,0,0,0
synth-n_300-m_2261-k_2-p_0.05.txt,300,2261,2,2,2,true,300,0,0,0
synth-n_300-m_2382-k_6-p_0.05.txt,300,2382,6,6,6,true,300,0,0,0
synth-n_300-m_2418-k_10-p_0.05.txt,300,2418,10,10,3,true,106,6,2,881
synth-n_300-m_2429-k_8-p_0.05.txt,300,2429,8,8,2,true,109,6,1,842
synth-n_300-m_2479-k_15-p_0.05.txt,300,2479,15,15,2,true,64,5,8,1694
synth-n_300-m_2480-k_20-p_0.05.txt,300,2480,20,20,2,true,71,6,11,1586
synth-n_300-m_2495-k_25-p_0.05.txt,300,2495,25,25,0,true,49,2,39,2129
synth-n_300-m_2561-k_30-p_0.05.txt,300,2561,30,30,0,true,36,0,78,2545
synth-n_300-m_4553-k_2-p_0.1.txt,300,4553,2,2,2,true,300,0,0,1
synth-n_300-m_4565-k_4-p_0.1.txt,300,4565,4,4,1,true,69,3,1,1395
synth-n_300-m_4664-k_6-p_0.1.txt,300,4664,6,6,6,true,300,0,0,1
synth-n_300-m_4762-k_8-p_0.1.txt,300,4762,8,8,1,true,48,7,1,2271
synth-n_300-m_4844-k_10-p_0.1.txt,300,4844,10,10,0,true,23,10,1,3356
synth-n_300-m_4893-k_15-p_0.1.txt,300,4893,15,15,0,true,16,15,1,3757
synth-n_300-m_5040-k_20-p_0.1.txt,300,5040,20,20,0,true,10,9,12,4252
synth-n_300-m_5040-k_25-p_0.1.txt,300,5040,25,25,0,true,8,4,33,4419
synth-n_300-m_5197-k_30-p_0.1.txt,300,5197,30,30,0,true,7,1,67,4725
synth-n_300-m_8966-k_2-p_0.2.txt,300,8966,2,2,2,true,300,0,0,2
synth-n_300-m_9050-k_4-p_0.2.txt,300,9050,4,4,1,true,22,3,1,2595
synth-n_300-m_9125-k_6-p_0.2.txt,300,9125,6,6,0,true,11,6,1,3630
synth-n_300-m_9325-k_8-p_0.2.txt,300,9325,8,8,0,true,4,8,1,4221
synth-n_300-m_9436-k_10-p_0.2.txt,300,9436,10,10,0,true,4,10,1,4651
synth-n_300-m_9694-k_15-p_0.2.txt,300,9694,15,15,0,true,3,15,1,5591
synth-n_300-m_9819-k_20-p_0.2.txt,300,9819,20,20,0,true,0,20,1,6479
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,0,true,1,25,1,6811
synth-n_40-m_112-k_8-p_0.1.txt,40,112,6,6,3,true,31,1,3,0
synth-n_40-m_114-k_10-p_0.1.txt,40,114,6,6,6,true,40,0,0,0
synth-n_40-m_114-k_15-p_0.1.txt,40,114,6,6,6,true,40,0,0,0
