name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,0,2974,false,90000
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,6,0,10,10,23,true,113
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,3,0,20,20,138,true,620
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,2,0,15,15,31,true,158
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,1,0,25,25,68,true,320
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,1,0,30,30,451,true,1781
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,332,true,1267
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,933,true,3258
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,100,1819,true,47761
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,0,2510,false,90000
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,2,0,-1,0,126,false,90000
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,128,false,90000
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,1,0,-1,0,136,false,90000
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,135,false,90000
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,0,84,false,90000
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,84,false,90000
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,84,false,90000
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,80,false,90000
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,37,false,90000
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,37,false,90000
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,35,false,90000
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,33,false,90000
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,1,0,20,20,69,true,571
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,1,0,25,25,72,true,587
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,539,true,2512
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,1266,true,7458
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,1041,true,5194
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,1313,true,9986
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,0,2734,false,90000
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,70,0,15,15,30,true,45
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,74,1,20,20,33,true,48
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,48,0,25,25,53,true,105
