name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,15,15,0,true,4,15,15,9,14,0
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,25,25,0,true,0,25,25,9,18,0
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,30,30,0,true,1,30,30,7,24,0
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,50,50,0,true,0,50,50,7,24,0
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,70,70,0,true,0,64,71,68,1279,383
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,70,70,0,true,9,70,70,2964,3514,0
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,100,100,0,true,1,100,100,2978,3877,0
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,120,120,0,true,2,120,120,2621,3546,0
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,150,150,0,true,0,150,150,2785,3957,0
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,200,200,0,true,0,200,200,2318,3621,0
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,70,70,0,true,0,70,70,5960,7755,0
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,100,100,0,true,0,100,100,6236,8318,0
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,120,120,0,true,0,120,120,5521,7461,0
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,150,150,0,true,0,150,150,4790,7001,0
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,200,200,0,true,0,200,200,3359,5984,0
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,70,70,0,true,0,70,70,9646,13509,0
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,100,100,0,true,0,100,100,9292,14319,0
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,120,120,0,true,0,120,120,8764,13836,0
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,150,150,0,true,0,150,150,9417,14866,0
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,200,200,0,true,0,200,200,7227,13944,0
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,100,100,0,true,1,100,100,4660,5565,0
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,120,120,0,true,2,120,120,4564,5899,0
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,150,150,0,true,1,150,150,4097,5454,0
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,200,200,0,true,0,200,200,3571,5290,0
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,100,100,0,true,0,100,100,8232,10538,0
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,120,120,0,true,0,120,120,7761,11128,0
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,150,150,0,true,0,150,150,6838,9966,0
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,200,200,0,true,0,200,200,5961,9289,0
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,100,100,0,true,0,100,100,10067,17750,0
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,120,120,0,true,0,120,120,10075,17934,0
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,150,150,0,true,0,150,150,10069,18210,0
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,200,200,0,true,0,200,200,10047,20669,0
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,10,10,10,true,250,0,0,0,2,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,15,15,1,true,79,14,14,2,6,0
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,25,25,0,true,39,23,25,13,1021,20
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,20,20,1,true,67,18,19,7,1014,12
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,30,30,0,true,32,29,30,5,1011,3
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,50,50,0,true,12,44,50,454,1745,1291
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,69,73,0,false,9,58,74,55354,90001,215769
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,100,0,false,0,61,103,63761,90001,238795
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,119,0,false,0,64,120,66597,90001,257129
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,10,10,0,true,23,10,10,8,11,0
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,15,15,0,true,20,15,15,9,14,0
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,25,25,1,true,13,24,24,8,15,0
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,20,20,0,true,9,20,20,8,14,0
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,30,30,0,true,4,30,30,9,18,0
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,50,50,0,true,0,50,50,7,238,0
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,70,70,0,true,0,67,74,49,1130,323
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,100,104,0,false,0,76,112,26543,90001,210779
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,143,0,false,0,80,152,49261,90001,339051
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,10,10,0,true,6,10,10,15,23,0
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,20,20,0,true,3,20,20,15,27,0
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,15,15,0,true,2,15,15,16,26,0
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,25,25,0,true,1,25,25,16,30,0
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,30,30,0,true,1,30,30,14,30,0
