name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,1,0,-1,0,142840,false,90000
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,2,0,-1,0,144816,false,90000
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,1,0,-1,0,147732,false,90000
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,0,152429,false,90000
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,0,284623,false,90000
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,0,286796,false,90000
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,292795,false,90000
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,302503,false,90000
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,563042,false,90000
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,569928,false,90000
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,580179,false,90000
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,595551,false,90000
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,250,10,10,10,0,true,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,79,1,15,15,1204,true,114
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,39,0,25,25,1658,true,415
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,67,1,20,20,1356,true,215
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,32,0,30,30,1693,true,766
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,12,0,50,50,1932,true,3939
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,9,0,69,0,2147,false,90000
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,0,2260,false,90000
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,0,2350,false,90000
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,23,0,10,10,2951,true,190
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,20,0,15,15,3119,true,356
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,13,1,25,25,3331,true,576
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,9,0,20,20,3511,true,534
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,4,0,30,30,3664,true,760
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,3992,true,1417
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,4149,true,3238
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,0,4386,false,90000
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,0,4530,false,90000
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,6,0,10,10,6473,true,584
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,3,0,20,20,6779,true,1413
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,2,0,15,15,6862,true,1128
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,1,0,25,25,7092,true,1913
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,1,0,30,30,7308,true,2782
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,8019,true,5072
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,8255,true,7312
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,0,8674,false,90000
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,0,8784,false,90000
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,2,0,-1,0,181252,false,90000
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,183371,false,90000
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,1,0,-1,0,186914,false,90000
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,190932,false,90000
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,0,360584,false,90000
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,364394,false,90000
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,370561,false,90000
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,380919,false,90000
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,716555,false,90000
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,722675,false,90000
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,735701,false,90000
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,752513,false,90000
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,1,0,20,20,9960,true,2566
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,1,0,25,25,10104,true,2942
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,10205,true,3646
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,10954,true,5582
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,11628,true,9425
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,12194,true,67769
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,0,12407,false,90000
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,70,0,15,15,1922,true,228
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,74,1,20,20,2027,true,201
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,48,0,25,25,2313,true,363
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,30,0,30,30,2536,true,839
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,13,0,50,50,2756,true,2514
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,9,0,70,70,2890,true,32647
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,1,0,-1,0,3131,false,90000
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,1,0,-1,0,3263,false,90000
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,26,0,15,15,4454,true,459
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,11,0,25,25,4896,true,842
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,18,0,20,20,4753,true,565
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,6,0,30,30,5237,true,1179
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,1,0,50,50,5518,true,1837
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,5939,true,3808
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,0,6233,false,90000
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,0,6319,false,90000
synth-n_300-m_9556-k_15-p_0.2.txt,300,9556,1,0,15,15,9547,true,2043
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,0,0,-1,0,240581,false,90000
