name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_275-m_2122-k_15-p_0.05.txt,15,15,30221,true,642389
synth-n_275-m_2130-k_20-p_0.05.txt,20,0,180000,false,4249190
synth-n_275-m_2220-k_30-p_0.05.txt,30,0,180000,false,4895290
synth-n_275-m_3808-k_2-p_0.1.txt,2,2,17,true,0
synth-n_275-m_3815-k_6-p_0.1.txt,6,6,27,true,84
synth-n_275-m_3851-k_4-p_0.1.txt,4,4,18,true,0
synth-n_275-m_3928-k_10-p_0.1.txt,10,10,25,true,79
synth-n_275-m_3928-k_8-p_0.1.txt,8,8,18,true,0
synth-n_275-m_4227-k_15-p_0.1.txt,15,15,8514,true,131138
synth-n_275-m_4276-k_20-p_0.1.txt,20,0,180000,false,2543611
synth-n_275-m_4371-k_30-p_0.1.txt,30,0,180000,false,3398286
synth-n_275-m_4399-k_25-p_0.1.txt,25,0,180000,false,3303246
synth-n_275-m_7607-k_2-p_0.2.txt,2,2,26,true,0
synth-n_275-m_7697-k_4-p_0.2.txt,4,4,53,true,34
synth-n_275-m_7718-k_8-p_0.2.txt,8,8,189,true,1296
synth-n_275-m_7787-k_6-p_0.2.txt,6,6,66,true,150
synth-n_275-m_7982-k_10-p_0.2.txt,10,10,445,true,4583
synth-n_275-m_8114-k_15-p_0.2.txt,15,15,14114,true,131797
synth-n_275-m_8401-k_20-p_0.2.txt,20,20,97521,true,1496653
synth-n_275-m_8453-k_25-p_0.2.txt,25,0,180000,false,1900719
synth-n_275-m_8461-k_30-p_0.2.txt,30,0,180000,false,3037762
synth-n_30-m_111-k_8-p_0.2.txt,7,7,0,true,0
synth-n_30-m_114-k_6-p_0.2.txt,5,5,0,true,31
synth-n_30-m_117-k_10-p_0.2.txt,7,7,0,true,256
synth-n_30-m_25-k_2-p_0.05.txt,0,0,0,true,0
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true,0
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true,0
synth-n_30-m_28-k_8-p_0.05.txt,1,1,0,true,0
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true,0
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true,0
synth-n_30-m_58-k_6-p_0.1.txt,2,2,0,true,0
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true,0
synth-n_30-m_64-k_8-p_0.1.txt,3,3,0,true,0
synth-n_30-m_73-k_10-p_0.1.txt,4,4,0,true,20
synth-n_30-m_97-k_2-p_0.2.txt,2,2,0,true,0
synth-n_30-m_99-k_4-p_0.2.txt,3,3,0,true,0
synth-n_300-m_10263-k_30-p_0.2.txt,30,0,180000,false,2908776
synth-n_300-m_2234-k_4-p_0.05.txt,4,4,13,true,0
synth-n_300-m_2261-k_2-p_0.05.txt,2,2,14,true,0
synth-n_300-m_2382-k_6-p_0.05.txt,6,6,15,true,0
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,39,true,316
synth-n_300-m_2429-k_8-p_0.05.txt,8,8,31,true,215
synth-n_300-m_2479-k_15-p_0.05.txt,15,15,11653,true,201725
synth-n_300-m_2480-k_20-p_0.05.txt,20,2,180000,false,2781664
synth-n_300-m_2495-k_25-p_0.05.txt,25,0,180000,false,3357533
synth-n_300-m_2561-k_30-p_0.05.txt,30,0,180000,false,3965516
synth-n_300-m_4553-k_2-p_0.1.txt,2,2,22,true,0
synth-n_300-m_4565-k_4-p_0.1.txt,4,4,32,true,20
synth-n_300-m_4664-k_6-p_0.1.txt,6,6,23,true,0
synth-n_300-m_4762-k_8-p_0.1.txt,8,8,67,true,654
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,267,true,4604
synth-n_300-m_4893-k_15-p_0.1.txt,15,15,24165,true,260352
synth-n_300-m_5040-k_20-p_0.1.txt,20,0,180000,false,3093043
synth-n_300-m_5040-k_25-p_0.1.txt,25,0,180000,false,2343356
synth-n_300-m_5197-k_30-p_0.1.txt,30,0,180000,false,3081193
synth-n_300-m_8966-k_2-p_0.2.txt,2,2,31,true,0
synth-n_300-m_9050-k_4-p_0.2.txt,4,4,62,true,18
synth-n_300-m_9125-k_6-p_0.2.txt,6,6,82,true,128
synth-n_300-m_9325-k_8-p_0.2.txt,8,8,192,true,1193
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,430,true,3442
synth-n_300-m_9694-k_15-p_0.2.txt,15,15,5299,true,44982
synth-n_300-m_9819-k_20-p_0.2.txt,20,0,180000,false,2038266
synth-n_300-m_9999-k_25-p_0.2.txt,25,0,180000,false,2086805
synth-n_40-m_112-k_8-p_0.1.txt,6,6,0,true,20
synth-n_40-m_114-k_10-p_0.1.txt,6,6,0,true,0
synth-n_40-m_114-k_15-p_0.1.txt,6,6,0,true,0
